,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
157,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,3,0,0,3,8,5,4,1,4,1,0,0,12,8,16,33.3,Matches,09a9e921
158,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12.0,0,0,0,1,1,0,0,1,0,0,1,0,10,2,0,100.0,Matches,1c0eea98
159,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,3,1,1,6,1,0,2,12,5,0,0,0,61,25,18,58.1,Matches,114bbdee
160,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,4,0,0,39,19,0,10,85,37,1,0,0,258,34,28,54.8,Matches,e8c930bb
161,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24.0,2,0,0,0,1,0,0,0,0,0,0,0,44,8,3,72.7,Matches,e4346678
162,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,4,0,0,24,9,2,1,28,19,0,1,0,150,57,17,77.0,Matches,06df8256
163,Youssouph Badji,sn SEN,FWMF,Brest,fr Ligue 1,19,2001,1.5,0,0,0,4,0,1,1,0,0,0,0,0,2,7,6,53.8,Matches,6a2b9aee
164,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,a98f3cbf
165,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,ad263695
166,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches,956a78ea
167,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,0,0,0,23,14,4,10,3,8,0,0,0,22,24,38,38.7,Matches,5046b7d4
168,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,3,0,0,12,11,4,33,1,11,0,0,0,38,10,16,38.5,Matches,3a233281
169,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,1,0,0,2,0,0,0,3,4,0,0,1,10,6,2,75.0,Matches,a1232f4e
170,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2.0,0,0,0,4,2,0,0,3,3,0,0,0,11,4,2,66.7,Matches,5065d67d
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,75.0,Matches,be13e5a8
172,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,3,0,0,16,14,7,156,3,14,0,0,0,91,0,14,0.0,Matches,f42d6c13
173,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4.0,1,0,0,6,2,5,3,0,0,0,0,0,5,7,11,38.9,Matches,0af4dcf0
174,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,0,0,0,7,5,0,0,12,9,0,0,0,25,4,4,50.0,Matches,ee95585f
175,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,3,0,0,12,10,0,1,9,13,0,1,0,33,16,8,66.7,Matches,59bf127b
176,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20.2,6,0,0,15,19,0,37,23,22,0,1,0,147,13,13,50.0,Matches,a8567629
177,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27.2,4,0,0,28,37,9,73,21,37,0,0,0,166,28,35,44.4,Matches,442b56fa
178,Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18,2002,0.5,0,0,0,2,1,0,0,0,1,0,0,0,2,3,1,75.0,Matches,2b5a35e5
179,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches,102e2599
180,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,2.1,0,0,0,4,4,0,6,1,1,0,0,0,13,0,2,0.0,Matches,5ccc9672
181,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,0.6,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,66.7,Matches,a30cb0d4
182,Keita Baldé,sn SEN,FW,Cagliari,it Serie A,26,1995,13.7,2,0,0,27,30,9,8,4,4,1,1,0,33,20,46,30.3,Matches,509a4ccb
183,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,2,0,0,3,0,1,3,2,1,0,0,0,4,7,5,58.3,Matches,a58bb1e1
184,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,22.5,2,0,0,21,12,1,51,21,24,0,0,0,125,33,18,64.7,Matches,1fe67e86
185,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,10.6,4,1,0,10,5,0,0,19,6,0,0,0,78,17,13,56.7,Matches,7c3ed041
186,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35.0,10,1,0,42,57,4,111,39,22,0,3,0,166,23,33,41.1,Matches,cee88597
187,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,5.0,2,0,0,12,10,1,18,3,14,0,1,0,35,5,9,35.7,Matches,f449640d
188,Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,0.8,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3,25.0,Matches,31822f8c
189,Abdoulaye Bamba,ci CIV,DFFW,Angers,fr Ligue 1,31,1990,5.1,1,0,0,5,6,0,10,9,5,0,0,1,19,6,5,54.5,Matches,7fecbcdb
190,Jonathan Bamba,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27.0,3,0,0,11,56,14,115,21,12,0,0,0,169,16,19,45.7,Matches,b2bd0f6c
191,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,2,0,0,5,5,5,3,2,0,0,0,0,12,5,14,26.3,Matches,93feac6e
192,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,21.7,10,0,0,53,18,5,68,10,20,0,1,0,117,12,31,27.9,Matches,d44360be
193,Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,13.5,1,0,0,14,19,0,1,20,13,0,0,0,70,42,27,60.9,Matches,0821331c
194,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,1.4,0,0,0,3,7,0,1,1,1,0,0,0,5,6,5,54.5,Matches,be47b750
195,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,10.1,2,1,1,6,11,1,8,11,4,0,0,0,62,7,18,28.0,Matches,2886c9b5
196,Antonín Barák,cz CZE,MFFW,Hellas Verona,it Serie A,26,1994,26.0,4,0,0,27,17,3,13,6,8,1,0,0,156,41,68,37.6,Matches,01efac19
197,Barbero,es ESP,FWMF,Osasuna,es La Liga,22,1998,0.2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,50.0,Matches,981c1863
198,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1.0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,5,44.4,Matches,0557ff4f
199,Barcia,es ESP,DF,Granada,es La Liga,20,2000,0.8,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,50.0,Matches,0c717ae6
200,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,2.9,0,0,0,5,0,1,4,2,4,0,0,0,16,5,5,50.0,Matches,a0d55a09
201,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,28.8,3,0,0,21,30,1,87,51,37,0,0,0,226,41,31,56.9,Matches,1ddbc7ca
202,Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,3,0,0,33,44,4,87,10,12,0,1,0,95,6,8,42.9,Matches,cac2537b
203,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches,0acda699
204,Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,16.5,9,0,0,25,29,0,7,15,17,1,0,0,90,13,30,30.2,Matches,03049c8c
205,Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32.4,9,0,0,30,52,4,66,21,42,1,0,0,190,22,24,47.8,Matches,6928979a
206,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,2,0,0,17,23,0,55,9,11,0,0,0,65,9,11,45.0,Matches,aad53e64
207,Ross Barkley,eng ENG,MFFW,Chelsea,eng Premier League,27,1993,2.0,0,0,0,2,4,0,7,1,0,0,0,0,17,6,2,75.0,Matches,3a24769f
208,Aymen Barkok,ma MAR,MFDF,Eint Frankfurt,de Bundesliga,23,1998,1.8,0,0,0,4,1,0,2,5,2,0,0,0,11,6,3,66.7,Matches,a2a85828
209,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,9.0,4,0,0,21,12,9,2,2,2,0,1,0,34,49,65,43.0,Matches,2691c772
210,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,2,0,0,19,20,10,45,5,16,0,0,0,93,24,41,36.9,Matches,3ea50f67
211,Antonio Barragán,es ESP,DF,Elche,es La Liga,34,1987,11.3,5,0,0,19,17,0,33,17,14,0,2,0,54,8,2,80.0,Matches,487d9b09
212,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,19.9,3,0,0,41,27,0,8,32,32,2,0,0,109,25,27,48.1,Matches,00242b75
213,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6.1,0,0,0,10,16,1,8,2,10,0,0,0,39,4,4,50.0,Matches,200e89e1
214,Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,26,1994,18.1,1,0,0,12,6,1,54,28,12,0,0,1,99,18,26,40.9,Matches,c0d3bd23
215,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,0,0,0,10,25,6,112,6,4,0,0,0,93,15,48,23.8,Matches,e5bf73f3
216,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2.3,2,0,0,9,3,0,7,4,4,0,0,0,18,4,1,80.0,Matches,8df328f4
217,Marc Bartra,es ESP,DF,Betis,es La Liga,30,1991,22.1,5,0,0,21,16,0,0,33,14,0,0,0,99,59,36,62.1,Matches,b742cc0d
218,Daniele Baselli,it ITA,MFFW,Torino,it Serie A,29,1992,1.7,0,0,0,3,4,1,5,1,3,0,0,0,11,2,6,25.0,Matches,ea06dd97
219,Daniele Baselli,it ITA,MF,Cagliari,it Serie A,29,1992,3.2,1,0,0,2,3,0,17,2,5,0,0,0,24,2,3,40.0,Matches,ea06dd97
220,Toma Bašić,hr CRO,MF,Lazio,it Serie A,24,1996,10.9,3,0,0,13,6,0,15,4,8,0,0,0,41,8,10,44.4,Matches,80556f08
221,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2.3,0,0,0,6,2,0,18,2,2,0,0,0,4,0,1,0.0,Matches,80556f08
222,Amine Bassi,fr FRA,MFFW,Metz,fr Ligue 1,23,1997,2.0,0,0,0,4,4,0,16,0,3,0,0,0,12,1,4,20.0,Matches,ced1d98f
223,Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,17,2004,2.2,1,0,0,1,0,0,0,3,4,0,0,0,12,1,8,11.1,Matches,42a028c5
224,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,22,1999,25.7,4,0,0,30,28,0,29,35,25,0,1,0,152,43,26,62.3,Matches,75b86fb3
225,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,5,1,0,30,35,1,113,30,34,0,0,0,185,25,13,65.8,Matches,1ac232b8
226,Lewis Bate,eng ENG,MF,Leeds United,eng Premier League,18,2002,1.6,0,0,0,3,1,0,0,1,0,0,0,0,8,0,2,0.0,Matches,cd4256d3
227,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,30,1991,13.1,4,0,0,28,18,0,1,10,16,0,1,0,82,32,24,57.1,Matches,d637fc22
228,Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,18.8,5,0,0,26,10,1,1,29,15,0,1,1,90,49,36,57.6,Matches,44a20f0c
229,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,1,0,0,0,3,0,0,0,0,0,0,0,86,9,0,100.0,Matches,47064058
230,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,5,0,0,24,13,0,10,37,28,0,0,2,127,53,43,55.2,Matches,bd7d2e6d
231,Julian Baumgartlinger,at AUT,MFFW,Leverkusen,de Bundesliga,33,1988,1.0,1,0,0,2,0,0,1,2,1,0,0,0,8,1,1,50.0,Matches,69374ff5
232,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21.0,5,0,0,37,32,1,35,8,15,0,0,0,103,37,49,43.0,Matches,437f2b00
233,Jon Bautista,es ESP,MF,Real Sociedad,es La Liga,26,1995,0.5,0,0,0,1,2,1,0,1,0,0,0,0,3,1,0,100.0,Matches,debc6b55
234,Paul Baysse,fr FRA,MFDF,Bordeaux,fr Ligue 1,33,1988,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,2515040a
235,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,1,0,0,6,3,0,10,1,2,0,0,0,12,8,14,36.4,Matches,fbbc8e15
236,Bebé,cv CPV,FW,Rayo Vallecano,es La Liga,31,1990,9.6,2,0,0,12,16,6,87,3,5,1,0,0,47,8,14,36.4,Matches,d8712bf9
237,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,0,0,0,26,21,11,49,12,14,0,0,0,78,37,77,32.5,Matches,a53b661f
238,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,34.8,10,0,0,57,45,4,17,42,46,0,1,0,193,63,32,66.3,Matches,19e4eab9
239,Mads Bech Sørensen,dk DEN,DF,Brentford,eng Premier League,22,1999,9.3,3,0,0,8,4,0,10,6,7,0,1,0,41,9,4,69.2,Matches,30db8574
240,Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,19.5,4,0,0,26,25,10,123,2,6,0,0,0,96,11,39,22.0,Matches,8eb55dbb
241,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,25,1996,29.2,10,0,0,30,15,1,1,72,15,0,1,1,177,91,38,70.5,Matches,4115ce4e
242,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,24,1997,0.8,0,0,0,2,2,0,0,2,4,0,0,0,7,1,2,33.3,Matches,50dc94ce
243,Donny van de Beek,nl NED,MF,Everton,eng Premier League,24,1997,5.4,1,0,0,7,1,0,6,6,7,0,0,0,35,7,5,58.3,Matches,50dc94ce
244,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,100.0,Matches,7b4de647
245,Valon Behrami,ch SUI,MFFW,Genoa,it Serie A,36,1985,3.5,3,0,0,8,5,0,2,1,1,0,0,0,13,0,7,0.0,Matches,d3d758d8
246,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,1,0,0,15,5,1,2,3,2,1,0,0,25,45,40,52.9,Matches,30ae134d
247,Youcef Belaïli,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9.2,2,0,0,12,19,2,50,7,1,0,1,0,49,5,7,41.7,Matches,1a248246
248,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,1,0,0,1,1,0,0,0,0,0,1,0,14,1,0,100.0,Matches,4f8ce0e1
249,Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,18.2,1,0,0,19,11,27,12,5,6,1,0,0,43,38,43,46.9,Matches,ff182fdc
250,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,27,1994,25.7,2,0,0,27,39,0,11,48,23,0,0,0,171,21,17,55.3,Matches,2b1bed19
251,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,29,1991,31.8,9,0,0,52,7,6,16,41,23,0,1,1,205,107,58,64.8,Matches,857a5abe
252,Armel Bella Kotchap,de GER,DF,Bochum,de Bundesliga,19,2001,19.6,5,0,0,26,27,3,2,42,20,0,0,2,126,35,17,67.3,Matches,a39d11bc
253,Raoul Bellanova,it ITA,DFFW,Cagliari,it Serie A,21,2000,27.7,3,0,0,10,35,2,96,21,15,0,1,0,123,15,26,36.6,Matches,e3756e72
254,Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,31,1990,7.6,2,0,0,20,7,1,25,9,4,2,0,0,38,0,1,0.0,Matches,bee0bab1
255,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,23,1998,25.9,5,0,0,36,68,0,54,27,32,0,0,0,177,18,19,48.6,Matches,10f0fdd3
256,Héctor Bellerín,es ESP,DF,Betis,es La Liga,26,1995,22.0,2,1,0,23,14,2,42,23,32,0,0,1,95,27,19,58.7,Matches,f874dd44
257,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,18,2003,31.0,9,0,0,39,91,5,14,42,34,0,0,0,178,28,42,40.0,Matches,57d88cf9
258,George Bello,us USA,DF,Arminia,de Bundesliga,19,2002,4.8,0,0,0,4,6,1,11,6,7,0,0,1,26,0,8,0.0,Matches,aca0a525
259,Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,16,2005,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,c678ddd7
260,Andrea Belotti,it ITA,FW,Torino,it Serie A,27,1993,15.2,1,0,0,26,51,16,13,2,3,1,0,0,41,55,77,41.7,Matches,d705ba44
261,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,22,1999,28.9,4,0,0,17,25,0,17,32,41,0,0,0,207,16,40,28.6,Matches,ed5c5fa3
262,Hatem Ben Arfa,fr FRA,FWMF,Lille,fr Ligue 1,34,1987,3.5,1,0,0,7,4,2,7,0,2,0,0,0,13,0,5,0.0,Matches,74dc806c
263,Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,1f6298f2
264,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,30,1990,28.1,3,0,0,19,22,24,14,0,8,1,0,0,74,21,46,31.3,Matches,942b4f90
265,Marco Benassi,it ITA,DFMF,Fiorentina,it Serie A,26,1994,1.8,1,0,0,4,0,0,4,3,0,0,0,0,9,3,5,37.5,Matches,0000acda
266,Marco Benassi,it ITA,MF,Empoli,it Serie A,26,1994,4.2,1,0,0,5,5,0,13,3,3,0,0,0,14,7,14,33.3,Matches,0000acda
267,Darío Benedetto,ar ARG,FWMF,Elche,es La Liga,31,1990,6.6,1,0,0,3,6,3,6,1,1,0,0,0,12,10,14,41.7,Matches,bef0a7ac
268,Darío Benedetto,ar ARG,FWMF,Marseille,fr Ligue 1,31,1990,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches,bef0a7ac
269,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,23,1997,2.7,0,0,0,1,9,0,15,2,3,0,0,0,17,5,1,83.3,Matches,fe888e39
270,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37.0,2,0,0,0,6,0,0,0,0,0,0,0,43,12,0,100.0,Matches,8a2248b4
271,Iker Benito,es ESP,FWMF,Osasuna,es La Liga,18,2002,1.3,1,0,0,1,3,0,4,0,1,0,0,0,4,1,1,50.0,Matches,50cbc806
272,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29,1992,0.7,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,,Matches,f5b6fb78
273,Pedro Benito,es ESP,FW,Cádiz,es La Liga,21,2000,0.3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0.0,Matches,a7416105
274,Filip Benković,hr CRO,DFFW,Udinese,it Serie A,24,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,66.7,Matches,305a3820
275,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,23,1997,16.9,7,0,0,25,44,0,24,25,30,0,0,0,153,15,18,45.5,Matches,db092d3b
276,Keanan Bennetts,eng ENG,FWDF,M'Gladbach,de Bundesliga,22,1999,0.6,1,0,0,2,0,0,2,0,0,0,0,0,4,2,0,100.0,Matches,f4c7c708
277,Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,25,1995,24.1,0,0,0,9,15,9,74,9,17,0,0,0,128,10,19,34.5,Matches,5a04fd92
278,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,26,1995,22.4,6,0,0,34,42,4,15,39,30,0,1,0,148,53,30,63.9,Matches,378825c7
279,Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,26,1994,16.8,4,0,0,29,13,0,3,28,24,0,0,0,131,18,12,60.0,Matches,3189f61a
280,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,24,1997,15.1,5,0,0,22,13,0,9,20,18,0,0,0,88,21,18,53.8,Matches,3b8674e6
281,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,24,1997,12.8,1,0,0,25,8,0,4,26,18,0,0,0,86,20,20,50.0,Matches,3b8674e6
282,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,30,1990,12.7,3,0,0,16,16,10,0,2,2,0,0,0,25,85,54,61.2,Matches,ab070c55
283,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,33,1987,28.8,0,0,0,13,9,31,10,4,9,0,0,0,44,18,30,37.5,Matches,70d74ece
284,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,ec1f737d
285,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,26,1994,31.3,9,0,0,53,76,11,102,31,19,2,0,0,151,18,18,50.0,Matches,53a0e358
286,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,31,1990,11.3,3,0,0,7,19,0,33,13,11,0,0,0,81,21,8,72.4,Matches,b6e50615
287,Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,26,1995,24.1,8,0,0,44,46,14,145,16,26,0,0,0,105,49,58,45.8,Matches,dc1c2fce
288,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,1992,32.7,12,0,0,34,37,0,60,42,38,0,0,0,191,45,20,69.2,Matches,61b3978f
289,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,30,1990,12.2,2,0,0,16,14,3,44,12,6,0,0,0,71,15,20,42.9,Matches,f72293fc
290,Patrick Berg,no NOR,MF,Lens,fr Ligue 1,23,1997,3.4,0,0,0,5,1,0,2,4,6,0,0,0,28,3,1,75.0,Matches,e4114f5d
291,Mitchell van Bergen,nl NED,FWMF,Reims,fr Ligue 1,21,1999,10.9,1,0,0,8,4,10,49,4,5,0,0,0,49,3,17,15.0,Matches,0b2c9aec
292,Steven Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,23,1997,6.3,1,0,0,9,9,1,8,1,2,0,0,0,22,4,5,44.4,Matches,a29b1131
293,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10.0,1,0,0,1,3,0,0,0,0,0,1,0,18,0,0,,Matches,ee833569
294,Valon Berisha,xk KVX,MFFW,Reims,fr Ligue 1,28,1993,5.1,2,1,1,13,2,2,27,4,7,0,0,0,24,4,3,57.1,Matches,d5575935
295,Federico Bernardeschi,it ITA,MFFW,Juventus,it Serie A,27,1994,16.4,5,0,0,16,27,4,51,5,10,0,0,0,82,7,17,29.2,Matches,ee93c1a9
296,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13.0,0,0,0,0,2,0,0,0,2,0,0,0,9,7,1,87.5,Matches,28dabd43
297,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19.0,0,0,0,0,3,0,0,0,0,0,0,0,29,3,1,75.0,Matches,28dabd43
298,Juan Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,28,1993,10.6,2,0,0,4,9,1,12,8,14,0,0,0,37,8,8,50.0,Matches,433dc9a2
299,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,9.3,0,0,0,0,1,0,0,0,0,0,0,0,10,2,1,66.7,Matches,380a15e2
300,Jason Berthomier,fr FRA,MF,Clermont Foot,fr Ligue 1,31,1990,19.2,0,0,0,14,15,2,133,8,14,0,0,0,98,11,16,40.7,Matches,03e91055
301,Nicolò Bertola,it ITA,MFDF,Spezia,it Serie A,18,2003,0.4,0,0,0,0,0,0,0,3,2,0,0,0,4,1,1,50.0,Matches,04b40c58
302,Ryan Bertrand,eng ENG,DF,Leicester City,eng Premier League,31,1989,3.7,1,0,0,3,1,0,12,1,5,0,0,0,11,1,8,11.1,Matches,01226327
303,Daniel Bessa,it ITA,MF,Hellas Verona,it Serie A,28,1993,8.5,5,1,1,21,12,2,17,5,2,0,0,0,84,8,7,53.3,Matches,88895312
304,Beto,gw GNB,FW,Udinese,it Serie A,23,1998,24.1,1,0,0,52,24,13,2,5,6,0,0,0,54,73,123,37.2,Matches,ed5c0319
305,Jordan Beyer,de GER,DF,M'Gladbach,de Bundesliga,21,2000,15.4,5,0,0,16,21,0,8,15,27,0,1,0,92,27,20,57.4,Matches,9af1f9ff
306,Bartosz Bialek,pl POL,FWDF,Wolfsburg,de Bundesliga,19,2001,2.0,1,0,0,6,2,0,0,0,0,0,0,0,4,5,8,38.5,Matches,763b8b37
307,Giulian Biancone,fr FRA,DFMF,Troyes,fr Ligue 1,21,2000,25.5,10,0,0,34,32,4,87,53,42,0,2,0,147,48,34,58.5,Matches,de40e38c
308,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,31,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,7aac47fe
309,Mads Bidstrup,dk DEN,MF,Brentford,eng Premier League,20,2001,0.5,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,,Matches,407db0d5
310,Pedro Bigas,es ESP,DF,Elche,es La Liga,30,1990,17.2,6,0,0,16,11,0,2,18,10,0,0,0,73,35,11,76.1,Matches,697295b1
311,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,19,2001,13.3,2,0,0,20,14,6,4,6,6,0,0,0,37,59,58,50.4,Matches,47c609d5
312,Jean-Claude Billong,cm CMR,DF,Clermont Foot,fr Ligue 1,27,1993,10.9,2,0,0,7,9,0,1,10,8,0,0,0,57,29,9,76.3,Matches,a3e1d20d
313,Luis Binks,eng ENG,DF,Bologna,it Serie A,19,2001,7.2,3,0,0,7,6,0,1,17,4,0,0,0,35,19,13,59.4,Matches,36e88fbc
314,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,28,1992,35.0,5,1,1,28,38,7,278,19,24,0,0,1,173,4,16,20.0,Matches,9e1577aa
